2019-06-06 01:23:59.239 ERROR 5964 --- [main] o.s.b.c.l.LoggingApplicationListener     : Cannot set level 'TARCE' for 'null'
2019-06-06 01:29:34.894  INFO 2456 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Starting TestUserMapper on honer with PID 2456 (started by fung in F:\workSpace\IDEA_workspace\mpdemo)
2019-06-06 01:29:34.894 DEBUG 2456 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-06-06 01:29:34.894  INFO 2456 --- [main] c.example.mpdemo.mapper.TestUserMapper   : The following profiles are active: dev
2019-06-06 01:29:36.285  WARN 2456 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'cityMapper' and 'com.example.mpdemo.mapper.CityMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:29:36.285  WARN 2456 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'roleMapper' and 'com.example.mpdemo.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:29:36.285  WARN 2456 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userMapper' and 'com.example.mpdemo.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:29:36.285  WARN 2456 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userRoleMapper' and 'com.example.mpdemo.mapper.UserRoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:29:36.285  WARN 2456 --- [main] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.example.mpdemo.mapper]' package. Please check your configuration.
2019-06-06 01:29:37.848  INFO 2456 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Starting...
2019-06-06 01:29:38.036  INFO 2456 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Start completed.
2019-06-06 01:29:38.208  WARN 2456 --- [main] c.b.m.core.toolkit.TableInfoHelper       : Warn: Could not find @TableId in Class: com.example.mpdemo.entity.City.
2019-06-06 01:29:39.286  INFO 2456 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-06-06 01:29:39.738  INFO 2456 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Started TestUserMapper in 5.469 seconds (JVM running for 6.622)
2019-06-06 01:29:39.942 DEBUG 2456 --- [main] c.e.m.m.UserMapper.selectBatchRoleUser   : ==>  Preparing: select u.*,r.id as `roleId`,r.name as `role_name` from `user` u left join user_role ur on ur.`userId` = u.`userId` left join `role` r on r.id = ur.`roleId` where u.`userId` = ? 
2019-06-06 01:29:39.973 DEBUG 2456 --- [main] c.e.m.m.UserMapper.selectBatchRoleUser   : ==> Parameters: 3(Integer)
2019-06-06 01:29:40.020 DEBUG 2456 --- [main] c.e.m.m.UserMapper.selectBatchRoleUser   : <==      Total: 2
2019-06-06 01:29:40.020  INFO 2456 --- [main] c.example.mpdemo.mapper.TestUserMapper   : UserVO(userId=3, userName=123, password=bbh, phone=phone3, modifyTime=Mon Sep 03 08:00:00 CST 2018, createTime=null, role=[Role(id=2, name=中书省, createTime=null, updateTime=null), Role(id=4, name=尚书省, createTime=null, updateTime=null)])
2019-06-06 01:29:40.035  INFO 2456 --- [Thread-2] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-06-06 01:29:40.035  INFO 2456 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : primaryData - Shutdown initiated...
2019-06-06 01:29:40.066  INFO 2456 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : primaryData - Shutdown completed.
